物件CD,賃料,管理費,敷金,礼金,保証金,敷引・償却
100347196183,80000.0,50000.0,,170000.0,,
100346313000,80000.0,50000.0,,170000.0,,
100347195980,80000.0,50000.0,,170000.0,,
100346315561,80000.0,50000.0,,170000.0,,
100342516758,70000.0,30000.0,,70000.0,,
100344412174,70000.0,30000.0,,70000.0,,
100346918213,70000.0,50000.0,,70000.0,,
100347367454,70000.0,50000.0,,70000.0,,
100346828863,70000.0,50000.0,,70000.0,,
100342808110,70000.0,30000.0,,70000.0,,
100343328902,70000.0,30000.0,,70000.0,,
100235648116,70000.0,30000.0,,70000.0,,
100347633705,60000.0,50000.0,,60000.0,,
100261416612,60000.0,50000.0,,60000.0,,
100313732638,60000.0,50000.0,,60000.0,,
100339802993,70000.0,50000.0,,,,
100344821796,70000.0,50000.0,,,,
100339112159,70000.0,50000.0,,70000.0,,
100339112505,70000.0,50000.0,,70000.0,,
100339259529,70000.0,50000.0,,70000.0,,
100339335004,70000.0,50000.0,,70000.0,,
100339925591,70000.0,50000.0,,,,
100339949538,70000.0,50000.0,,,,
100345334384,70000.0,50000.0,,,,
100346309132,80000.0,50000.0,,170000.0,,
100347196208,80000.0,50000.0,,170000.0,,
100343995293,70000.0,30000.0,,70000.0,,
100344412147,70000.0,30000.0,,70000.0,,
100347569297,60000.0,50000.0,,60000.0,,
100347570262,60000.0,50000.0,,60000.0,,
100345332625,70000.0,50000.0,,,,
100345474955,70000.0,50000.0,,70000.0,,
100345597991,70000.0,50000.0,,70000.0,,
100341818561,50000.0,50000.0,,50000.0,,
100342971464,70000.0,50000.0,,,,
100346316203,90000.0,50000.0,,180000.0,,
100346312335,90000.0,50000.0,,180000.0,,
100347195968,90000.0,50000.0,,180000.0,,
100347195845,90000.0,50000.0,,180000.0,,
100346758075,70000.0,50000.0,,70000.0,,
100346584474,60000.0,50000.0,,60000.0,,
100346317198,60000.0,50000.0,,60000.0,,
100343878267,50000.0,40000.0,,,,
100347633741,50000.0,50000.0,,50000.0,,
100156694553,50000.0,50000.0,,50000.0,,
100313732589,50000.0,50000.0,,50000.0,,
100180349390,50000.0,50000.0,,50000.0,,
100247043111,50000.0,50000.0,,50000.0,,
100247010707,50000.0,50000.0,,50000.0,,
100343469782,80000.0,50000.0,,170000.0,,
100343697348,80000.0,50000.0,,170000.0,,
100343469756,80000.0,50000.0,,170000.0,,
100343630482,80000.0,50000.0,,170000.0,,
100343630361,80000.0,50000.0,,170000.0,,
100343697336,80000.0,50000.0,,170000.0,,
100343523287,80000.0,50000.0,,170000.0,,
100347569271,50000.0,50000.0,,50000.0,,
100347570260,50000.0,50000.0,,50000.0,,
100347570239,50000.0,50000.0,,50000.0,,
100347569126,50000.0,50000.0,,50000.0,,
100330571496,70000.0,50000.0,,,,
100343630459,80000.0,50000.0,,170000.0,,
100343469759,80000.0,50000.0,,170000.0,,
100343697412,80000.0,50000.0,,170000.0,,
100346313266,70000.0,50000.0,,70000.0,,
100346589289,70000.0,50000.0,,70000.0,,
100315742413,60000.0,50000.0,,,,
